"date","subj_id","response","Adj","Name","Unit","Pred","Repetition","NormUnit"
1438010210,"subj01",67,"Tall","Ethan","71","notShort",1,3
1438010210,"subj01",54,"Tall","Brian","68","veryTall",2,-6
1438010210,"subj01",19,"Tall","Kevin","77","short",2,21
1438010210,"subj01",29,"Tall","Paul","70","neither",2,0
1438010210,"subj01",27,"Tall","Robert","82","notShort",1,36
1438010210,"subj01",44,"Tall","George","68","notTall",1,-6
1438010210,"subj01",64,"Tall","Mark","66","short",1,-12
1438010210,"subj01",21,"Tall","David","77","notVeryTall",2,21
1438010210,"subj01",37,"Tall","Jacob","69","neither",1,-3
1438010210,"subj01",31,"Tall","Jacob","68","short",1,-6
1438010210,"subj01",70,"Tall","Steven","66","notVeryTall",1,-12
1438010210,"subj01",27,"Tall","Edward","71","notTall",2,3
1438010210,"subj01",31,"Tall","John","68","notTall",2,-6
1438010210,"subj01",20,"Tall","Daniel","73","notShort",1,9
1438010210,"subj01",71,"Tall","Alex","70","notShort",1,0
1438010210,"subj01",82,"Tall","Thomas","75","tall",2,15
1438010210,"subj01",21,"Tall","Ronald","74","short",1,12
1438010210,"subj01",32,"Tall","Brian","79","neither",2,27
1438010210,"subj01",72,"Tall","Jacob","69","notShort",2,-3
1438010210,"subj01",58,"Tall","Kevin","71","veryTall",2,3
1438010210,"subj01",30,"Tall","Anthony","71","notVeryTall",1,3
1438010210,"subj01",59,"Tall","David","71","tall",2,3
1438010210,"subj01",28,"Tall","David","72","notTall",1,6
1438010210,"subj01",91,"Tall","Kenneth","82","notShort",2,36
1438010210,"subj01",19,"Tall","Michael","75","neither",2,15
1438010210,"subj01",28,"Tall","Daniel","69","neither",2,-3
1438010210,"subj01",21,"Tall","Robert","69","notTall",1,-3
1438010210,"subj01",30,"Tall","Mark","71","neither",1,3
1438010210,"subj01",14,"Tall","Alex","63","neither",2,-21
1438010210,"subj01",17,"Tall","Ryan","73","short",2,9
1438010210,"subj01",81,"Tall","Matthew","63","notTall",1,-21
1438010210,"subj01",66,"Tall","Stanley","66","short",2,-12
1438010210,"subj01",94,"Tall","Jacob","79","tall",2,27
1438010210,"subj01",20,"Tall","Alex","69","short",1,-3
1438010210,"subj01",61,"Tall","Richard","69","veryTall",2,-3
1438010210,"subj01",86,"Tall","Stanley","77","veryTall",2,21
1438010210,"subj01",79,"Tall","James","66","notTall",2,-12
1438010210,"subj01",82,"Tall","Thomas","71","notShort",2,3
1438010210,"subj01",71,"Tall","Stanley","72","tall",2,6
1438010210,"subj01",27,"Tall","Brian","72","notTall",2,6
1438010210,"subj01",11,"Tall","Daniel","82","notTall",2,36
1438010210,"subj01",87,"Tall","Christopher","77","tall",2,21
1438010210,"subj01",85,"Tall","Daniel","74","veryTall",2,12
1438010210,"subj01",56,"Tall","Michael","69","tall",2,-3
1438010210,"subj01",93,"Tall","George","82","veryTall",2,36
1438010210,"subj01",24,"Tall","George","73","neither",2,9
1438010210,"subj01",78,"Tall","Jacob","73","notShort",2,9
1438010210,"subj01",68,"Tall","Joseph","74","tall",2,12
1438010210,"subj01",22,"Tall","James","77","notShort",2,21
1438010210,"subj01",19,"Tall","Jacob","72","short",1,6
1438010210,"subj01",11,"Tall","Michael","63","veryTall",2,-21
1438010210,"subj01",17,"Tall","Edward","66","veryTall",1,-12
1438010210,"subj01",13,"Tall","William","66","veryTall",2,-12
1438010210,"subj01",50,"Tall","Robert","68","tall",1,-6
1438010210,"subj01",21,"Tall","Matthew","71","neither",2,3
1438010210,"subj01",6,"Tall","Jason","77","notTall",2,21
1438010210,"subj01",8,"Tall","Jason","73","notVeryTall",2,9
1438010210,"subj01",5,"Tall","Charles","82","notVeryTall",1,36
1438010210,"subj01",61,"Tall","Stanley","68","notShort",2,-6
1438010210,"subj01",50,"Tall","James","71","notVeryTall",2,3
1438010210,"subj01",7,"Tall","Robert","74","neither",2,12
1438010210,"subj01",28,"Tall","David","66","notShort",2,-12
1438010210,"subj01",84,"Tall","Ryan","74","notShort",2,12
1438010210,"subj01",22,"Tall","Ronald","82","neither",1,36
1438010210,"subj01",37,"Tall","Edward","68","notVeryTall",2,-6
1438010210,"subj01",67,"Tall","Anthony","70","veryTall",2,0
1438010210,"subj01",21,"Tall","Kevin","66","tall",2,-12
1438010210,"subj01",19,"Tall","Mark","63","notTall",2,-21
1438010210,"subj01",91,"Tall","Paul","75","veryTall",1,15
1438010210,"subj01",1,"Tall","Richard","79","notVeryTall",1,27
1438010210,"subj01",19,"Tall","James","72","neither",2,6
1438010210,"subj01",82,"Tall","Joseph","70","notShort",2,0
1438010210,"subj01",21,"Tall","Ethan","66","neither",2,-12
1438010210,"subj01",21,"Tall","Steven","70","notTall",2,0
1438010210,"subj01",22,"Tall","Donald","68","short",2,-6
1438010210,"subj01",88,"Tall","Jeff","79","notTall",2,27
1438010210,"subj01",50,"Tall","Kenneth","70","short",2,0
1438010210,"subj01",26,"Tall","Matthew","74","short",2,12
1438010210,"subj01",72,"Tall","Tim","70","tall",2,0
1438010210,"subj01",16,"Tall","John","72","notVeryTall",2,6
1438010210,"subj01",15,"Tall","Anthony","75","short",1,15
1438010210,"subj01",22,"Tall","Kenneth","69","notTall",2,-3
1438010210,"subj01",18,"Tall","Edward","72","short",2,6
1438010210,"subj01",65,"Tall","Benjamin","66","notVeryTall",2,-12
1438010210,"subj01",12,"Tall","George","69","short",2,-3
1438010210,"subj01",17,"Tall","James","75","short",2,15
1438010210,"subj01",21,"Tall","Richard","82","neither",2,36
1438010210,"subj01",87,"Tall","Arthur","75","veryTall",2,15
1438010210,"subj01",16,"Tall","William","77","neither",2,21
1438010210,"subj01",77,"Tall","Charles","73","tall",2,9
1438010210,"subj01",65,"Tall","Jason","68","tall",2,-6
1438010210,"subj01",14,"Tall","Kevin","75","notTall",2,15
1438010210,"subj01",12,"Tall","Stanley","79","notVeryTall",2,27
1438010210,"subj01",14,"Tall","James","63","tall",2,-21
1438010210,"subj01",13,"Tall","Jacob","82","notVeryTall",2,36
1438010523,"subj02",28,"Tall","Jacob","68","short",1,-6
1438010523,"subj02",2,"Tall","David","79","neither",1,27
1438010523,"subj02",2,"Tall","Kenneth","74","neither",1,12
1438010523,"subj02",0,"Tall","Kevin","77","short",1,21
1438010523,"subj02",2,"Tall","Steven","63","veryTall",1,-21
