"date","subj_id","response","Adj","Name","Unit","Pred","Comparative","Pred2","NormUnit"
1504268124,"subj001",43,"Tall","Michael","69","tall",FALSE,"Adj",-1
1504268124,"subj001",59,"Tall","Kenneth","69","notTall",FALSE,"NotAdj",-1
1504268124,"subj001",7,"Tall","Mark","75","notVeryTall",FALSE,"NotVeryAdj",5
1504268124,"subj001",94,"Tall","Benjamin","66","notTaller",TRUE,"NotAdj",-4
1504268124,"subj001",14,"Tall","Arthur","63","veryTall",FALSE,"VeryAdj",-7
1504268124,"subj001",6,"Tall","Alex","74","notMuchTaller",TRUE,"NotVeryAdj",4
1504268124,"subj001",2,"Tall","Anthony","74","notTall",FALSE,"NotAdj",4
1504268124,"subj001",58,"Tall","David","71","tall",FALSE,"Adj",1
1504268124,"subj001",95,"Tall","Brian","79","muchTaller",TRUE,"VeryAdj",9
1504268124,"subj001",10,"Tall","Michael","74","notTaller",TRUE,"NotAdj",4
1504268124,"subj001",95,"Tall","Mark","63","notTall",FALSE,"NotAdj",-7
1504268124,"subj001",95,"Tall","Joseph","63","notTaller",TRUE,"NotAdj",-7
1504268124,"subj001",92,"Tall","Jacob","68","notTaller",TRUE,"NotAdj",-2
1504268124,"subj001",42,"Tall","Jason","68","notMuchTaller",TRUE,"NotVeryAdj",-2
1504268124,"subj001",95,"Tall","Ronald","82","muchTaller",TRUE,"VeryAdj",12
1504268124,"subj001",8,"Tall","Tim","82","notTall",FALSE,"NotAdj",12
1504268124,"subj001",61,"Tall","Kevin","71","taller",TRUE,"Adj",1
1504268124,"subj001",4,"Tall","Steven","63","taller",TRUE,"Adj",-7
1504268124,"subj001",37,"Tall","Anthony","63","notMuchTaller",TRUE,"NotVeryAdj",-7
1504268124,"subj001",96,"Tall","Jacob","79","taller",TRUE,"Adj",9
1504268124,"subj001",11,"Tall","Donald","77","notVeryTall",FALSE,"NotVeryAdj",7
1504268124,"subj001",59,"Tall","Joseph","70","notVeryTall",FALSE,"NotVeryAdj",0
1504268124,"subj001",92,"Tall","Jacob","72","veryTall",FALSE,"VeryAdj",2
1504268124,"subj001",32,"Tall","Robert","68","tall",FALSE,"Adj",-2
1504268124,"subj001",4,"Tall","John","72","notTaller",TRUE,"NotAdj",2
1504268124,"subj001",94,"Tall","Edward","77","muchTaller",TRUE,"VeryAdj",7
1504268124,"subj001",92,"Tall","Arthur","75","taller",TRUE,"Adj",5
1504268124,"subj001",9,"Tall","Christopher","72","notVeryTall",FALSE,"NotVeryAdj",2
1504268124,"subj001",96,"Tall","Daniel","79","tall",FALSE,"Adj",9
1504268124,"subj001",6,"Tall","Richard","79","notTaller",TRUE,"NotAdj",9
1504268124,"subj001",88,"Tall","William","63","notVeryTall",FALSE,"NotVeryAdj",-7
1504268124,"subj001",97,"Tall","Paul","82","tall",FALSE,"Adj",12
1504268124,"subj001",40,"Tall","Edward","71","notTall",FALSE,"NotAdj",1
1504268124,"subj001",43,"Tall","John","66","tall",FALSE,"Adj",-4
1504268124,"subj001",90,"Tall","Thomas","75","tall",FALSE,"Adj",5
1504268124,"subj001",95,"Tall","Ryan","73","veryTall",FALSE,"VeryAdj",3
1504268124,"subj001",38,"Tall","James","71","notTaller",TRUE,"NotAdj",1
1504268124,"subj001",35,"Tall","Christopher","68","muchTaller",TRUE,"VeryAdj",-2
1504268124,"subj001",8,"Tall","Kevin","75","notTall",FALSE,"NotAdj",5
1504268124,"subj001",2,"Tall","Jason","77","notTall",FALSE,"NotAdj",7
1504268124,"subj001",95,"Tall","Alex","82","taller",TRUE,"Adj",12
1504268138,"subj002",7,"Tall","George","79","notVeryTall",FALSE,"NotVeryAdj",9
1504268138,"subj002",34,"Tall","Alex","74","notMuchTaller",TRUE,"NotVeryAdj",4
1504268138,"subj002",4,"Tall","Paul","70","muchTaller",TRUE,"VeryAdj",0
1504268138,"subj002",68,"Tall","Kevin","71","taller",TRUE,"Adj",1
1504268138,"subj002",2,"Tall","Arthur","63","veryTall",FALSE,"VeryAdj",-7
1504268138,"subj002",22,"Tall","Kevin","66","notMuchTaller",TRUE,"NotVeryAdj",-4
1504268138,"subj002",2,"Tall","Donald","66","notTall",FALSE,"NotAdj",-4
1504268138,"subj002",1,"Tall","Benjamin","77","notMuchTaller",TRUE,"NotVeryAdj",7
1504268138,"subj002",11,"Tall","Ronald","73","notTall",FALSE,"NotAdj",3
1504268138,"subj002",5,"Tall","Paul","74","notVeryTall",FALSE,"NotVeryAdj",4
1504268138,"subj002",79,"Tall","Joseph","74","tall",FALSE,"Adj",4
1504268138,"subj002",23,"Tall","Joseph","70","notVeryTall",FALSE,"NotVeryAdj",0
1504268138,"subj002",98,"Tall","Daniel","79","tall",FALSE,"Adj",9
